"purchase_id","Model","Price","Engine_Power","Transmission","Fuel_Type","Num_Additional_Options"
1,"2113",9e+05,112,"MT","Petrol",4
2,"Kalina",2750000,132,"MT","Petrol",1
3,"2112",1450000,142,"MT","Petrol",4
4,"2109",1400000,97,"AT","Petrol",1
5,"Largus",7e+05,142,"MT","Petrol",1
6,"XRay",950000,102,"MT","Petrol",2
7,"2110",2800000,102,"AT","Petrol",3
8,"Kalina",8e+05,87,"MT","Petrol",1
9,"2110",1150000,102,"MT","Petrol",2
10,"Riva",1150000,107,"MT","Petrol",3
11,"Samara",3050000,112,"AT","Petrol",0
12,"Kalina",2800000,137,"MT","Diesel",0
13,"2113",1800000,117,"AT","Petrol",1
14,"Priora",950000,142,"AT","Diesel",0
15,"Samara",1650000,147,"MT","Petrol",1
16,"21099",750000,92,"AT","Petrol",3
17,"Riva",2700000,147,"MT","Petrol",1
18,"2114",2900000,122,"MT","Petrol",1
19,"Largus",2500000,107,"MT","Petrol",2
20,"Priora",1650000,142,"MT","Petrol",2
21,"Riva",1e+06,122,"AT","Petrol",1
22,"2109",2500000,147,"MT","Petrol",0
23,"2111",2450000,117,"MT","Petrol",1
24,"Vesta",8e+05,97,"MT","Diesel",3
25,"Niva Legend",1900000,117,"MT","Petrol",1
26,"Largus",750000,92,"MT","Petrol",1
27,"2112",2e+06,132,"MT","Diesel",1
28,"2110",1550000,117,"AT","Petrol",2
29,"Largus",1950000,122,"AT","Petrol",2
30,"2113",2200000,97,"AT","Petrol",1
31,"Niva Travel",1500000,97,"MT","Petrol",1
32,"Priora",1700000,107,"MT","Petrol",0
33,"2107",2200000,117,"AT","Petrol",3
34,"2112",2800000,137,"AT","Petrol",0
35,"2107",1950000,102,"MT","Petrol",0
36,"XRay",2950000,102,"MT","Petrol",1
37,"2114",2050000,122,"MT","Diesel",0
38,"2113",3100000,107,"MT","Petrol",4
39,"Kalina",2850000,142,"AT","Diesel",2
40,"2109",7e+05,122,"MT","Petrol",5
41,"2110",1550000,132,"MT","Petrol",3
42,"2115",8e+05,117,"AT","Petrol",0
43,"2114",1e+06,107,"MT","Petrol",2
44,"Oka",2400000,87,"MT","Diesel",2
45,"2107",2750000,112,"AT","Diesel",0
46,"Largus",1650000,87,"MT","Petrol",1
47,"2114",2500000,107,"AT","Diesel",0
48,"Riva",1950000,122,"AT","Petrol",3
49,"Priora",1550000,147,"AT","Petrol",2
50,"XRay",2650000,112,"MT","Diesel",3
51,"Granta",1750000,142,"MT","Petrol",1
52,"XRay",1950000,142,"AT","Petrol",2
53,"Riva",1850000,92,"AT","Petrol",2
54,"Niva Travel",1350000,112,"AT","Petrol",0
55,"2107",1950000,132,"AT","Petrol",0
56,"XRay",1150000,102,"AT","Petrol",2
57,"2107",1300000,122,"MT","Diesel",2
58,"Oka",2550000,132,"AT","Petrol",2
59,"2110",2750000,137,"AT","Diesel",1
60,"21099",1250000,97,"MT","Petrol",1
61,"Kalina",2500000,117,"MT","Petrol",1
62,"2107",2400000,142,"MT","Petrol",1
63,"Niva Travel",1100000,142,"AT","Petrol",2
64,"2109",2500000,147,"MT","Petrol",1
65,"Niva Legend",1050000,87,"MT","Petrol",3
66,"XRay",2800000,122,"MT","Petrol",4
67,"Largus",7e+05,142,"MT","Petrol",4
68,"Priora",1300000,87,"MT","Petrol",2
69,"Priora",1600000,97,"MT","Petrol",0
70,"Oka",2950000,132,"MT","Diesel",2
71,"Samara",2050000,107,"MT","Petrol",0
72,"Oka",3100000,147,"MT","Petrol",0
73,"Largus",2650000,92,"MT","Petrol",1
74,"Largus",1300000,117,"AT","Petrol",4
75,"2115",2700000,122,"MT","Petrol",0
76,"Kalina",2500000,142,"MT","Petrol",3
77,"Oka",2650000,147,"MT","Petrol",3
78,"Largus",3e+06,137,"MT","Petrol",2
79,"XRay",2800000,107,"AT","Petrol",2
80,"2110",3150000,122,"MT","Petrol",0
81,"2112",3100000,102,"MT","Petrol",2
82,"2113",1900000,102,"MT","Petrol",0
83,"2113",2350000,107,"MT","Petrol",2
84,"Granta",1250000,122,"MT","Diesel",2
85,"Samara",3050000,107,"MT","Diesel",4
86,"Oka",2700000,132,"AT","Petrol",0
87,"Niva Legend",1500000,92,"MT","Petrol",2
88,"2111",2650000,117,"MT","Petrol",0
89,"Niva Travel",3200000,122,"MT","Petrol",3
90,"Granta",1350000,97,"AT","Diesel",3
91,"2111",2950000,112,"MT","Petrol",0
92,"Kalina",2650000,102,"MT","Petrol",4
93,"Niva Legend",3050000,127,"MT","Petrol",3
94,"Riva",1200000,142,"AT","Petrol",1
95,"Samara",2550000,137,"MT","Petrol",4
96,"Niva Travel",1600000,122,"MT","Petrol",2
97,"Oka",2400000,102,"MT","Petrol",1
98,"Vesta",3100000,137,"MT","Diesel",3
99,"Riva",1650000,132,"AT","Petrol",3
100,"2115",2300000,112,"MT","Petrol",2
101,"Riva",2650000,132,"MT","Petrol",1
102,"Vesta",1450000,127,"AT","Petrol",1
103,"Kalina",1200000,122,"MT","Petrol",1
104,"2109",1500000,117,"MT","Petrol",0
105,"Kalina",750000,137,"MT","Petrol",2
106,"2114",1650000,97,"MT","Petrol",1
107,"Oka",2750000,137,"MT","Petrol",3
108,"2114",2700000,107,"MT","Petrol",0
109,"Priora",2050000,142,"AT","Petrol",1
110,"Niva Legend",1650000,132,"MT","Petrol",3
111,"Oka",1400000,127,"AT","Petrol",0
112,"2113",1650000,147,"MT","Petrol",0
113,"XRay",9e+05,147,"AT","Petrol",3
114,"Samara",2600000,117,"AT","Petrol",0
115,"XRay",2500000,122,"MT","Petrol",0
116,"2107",2450000,147,"AT","Diesel",3
117,"2112",1950000,127,"MT","Petrol",1
118,"2111",2400000,97,"MT","Diesel",3
119,"2115",2350000,107,"AT","Petrol",0
120,"Priora",1800000,92,"AT","Petrol",0
121,"Priora",1400000,147,"MT","Petrol",0
122,"2109",2600000,142,"MT","Petrol",1
123,"Kalina",2650000,107,"MT","Petrol",2
124,"Samara",750000,142,"AT","Petrol",3
125,"Priora",850000,112,"MT","Petrol",2
126,"Vesta",2500000,122,"MT","Petrol",1
127,"2115",850000,122,"AT","Diesel",2
128,"2113",2850000,87,"MT","Petrol",1
129,"2114",2350000,107,"MT","Petrol",1
130,"2114",2600000,102,"AT","Petrol",1
131,"2111",1350000,107,"MT","Petrol",1
132,"Oka",1700000,92,"AT","Petrol",5
133,"2109",2250000,92,"MT","Petrol",4
134,"2115",2650000,102,"MT","Petrol",1
135,"Priora",850000,137,"AT","Petrol",1
136,"21099",2050000,87,"MT","Petrol",4
137,"Oka",2400000,112,"MT","Petrol",3
138,"2112",2800000,117,"MT","Petrol",4
139,"2114",1100000,117,"MT","Petrol",1
140,"2111",3050000,92,"AT","Petrol",1
141,"Niva Travel",1850000,92,"AT","Petrol",0
142,"Niva Legend",1300000,147,"MT","Petrol",2
