purchase_id,id,Age,Sex,Income,Purchase_Date,Region,Model,Price,Engine_Power,Transmission,Fuel_Type,Num_Additional_Options,Saving_year_num
1,199010,46,M,240000.0,2021-07-01,удмуртская республика,2113,900000.0,112,MT,Petrol,4,3.75
2,200176,56,M,575000.0,2023-03-01,самарская область,kalina,2750000.0,132,MT,Petrol,1,4.782608695652174
3,199908,31,M,287000.0,2021-01-01,республика татарстан,2112,1450000.0,142,MT,Petrol,4,5.052264808362369
4,199237,44,M,240000.0,2023-12-01,нижегородская область,2109,1400000.0,97,AT,Petrol,1,5.833333333333333
5,198720,57,M,262000.0,2022-01-01,республика башкортостан,largus,700000.0,142,MT,Petrol,1,2.6717557251908395
6,201377,59,M,240000.0,2021-06-01,республика мордовия,xray,950000.0,102,MT,Petrol,2,3.9583333333333335
7,201706,57,M,363000.0,2022-07-01,саратовская область,2110,2800000.0,102,AT,Petrol,3,7.7134986225895315
8,201192,49,M,240000.0,2022-07-01,нижегородская область,kalina,800000.0,87,MT,Petrol,1,3.3333333333333335
9,201522,39,M,415000.0,2022-08-01,оренбургская область,2110,1150000.0,102,MT,Petrol,2,2.7710843373493974
10,198398,47,M,365000.0,2022-12-01,самарская область,riva,1150000.0,107,MT,Petrol,3,3.1506849315068495
11,198416,44,M,423000.0,2023-02-01,самарская область,samara,3050000.0,112,AT,Petrol,0,7.210401891252955
12,199691,36,M,389000.0,2021-10-01,саратовская область,kalina,2800000.0,137,MT,Diesel,0,7.197943444730077
13,197843,47,M,437000.0,2021-01-01,кировская область,2113,1800000.0,117,AT,Petrol,1,4.118993135011442
14,200956,55,M,240000.0,2023-09-01,пермский край,priora,950000.0,142,AT,Diesel,0,3.9583333333333335
15,201154,54,M,248000.0,2022-09-01,пензенская область,samara,1650000.0,147,MT,Petrol,1,6.653225806451613
16,198904,57,M,459000.0,2022-07-01,республика башкортостан,21099,750000.0,92,AT,Petrol,3,1.6339869281045751
17,200838,53,F,341000.0,2022-11-01,республика башкортостан,riva,2700000.0,147,MT,Petrol,1,7.9178885630498534
18,198399,60,M,461000.0,2023-05-01,самарская область,2114,2900000.0,122,MT,Petrol,1,6.290672451193059
19,197580,52,M,703000.0,2022-12-01,республика татарстан,largus,2500000.0,107,MT,Petrol,2,3.5561877667140824
21,198945,52,M,240000.0,2023-12-01,ульяновская область,riva,1000000.0,122,AT,Petrol,1,4.166666666666667
22,197735,38,M,240000.0,2021-12-01,республика башкортостан,2109,2500000.0,147,MT,Petrol,0,10.416666666666666
23,198774,45,M,306000.0,2022-01-01,самарская область,2111,2450000.0,117,MT,Petrol,1,8.006535947712418
24,198493,53,M,373000.0,2022-11-01,ульяновская область,vesta,800000.0,97,MT,Diesel,3,2.1447721179624666
25,199495,59,M,576000.0,2022-09-01,пензенская область,niva legend,1900000.0,117,MT,Petrol,1,3.298611111111111
26,197947,43,M,380000.0,2023-09-01,республика татарстан,largus,750000.0,92,MT,Petrol,1,1.9736842105263157
27,198245,53,M,272000.0,2021-02-01,нижегородская область,2112,2000000.0,132,MT,Diesel,1,7.352941176470588
28,202331,46,M,398000.0,2021-05-01,республика башкортостан,2110,1550000.0,117,AT,Petrol,2,3.8944723618090453
29,201209,56,M,402000.0,2022-01-01,оренбургская область,largus,1950000.0,122,AT,Petrol,2,4.850746268656716
30,201954,53,M,739000.0,2022-08-01,республика башкортостан,2113,2200000.0,97,AT,Petrol,1,2.976995940460081
31,201765,41,M,319000.0,2021-06-01,республика башкортостан,niva travel,1500000.0,97,MT,Petrol,1,4.702194357366771
32,202018,51,F,240000.0,2021-09-01,ульяновская область,priora,1700000.0,107,MT,Petrol,0,7.083333333333333
33,198020,53,M,305000.0,2022-09-01,саратовская область,2107,2200000.0,117,AT,Petrol,3,7.213114754098361
34,200904,47,M,400000.0,2021-07-01,чувашская республика,2112,2800000.0,137,AT,Petrol,0,7.0
35,197742,56,M,240000.0,2023-01-01,оренбургская область,2107,1950000.0,102,MT,Petrol,0,8.125
36,201816,50,M,495000.0,2022-03-01,республика марий эл,xray,2950000.0,102,MT,Petrol,1,5.959595959595959
37,198619,56,F,474000.0,2021-12-01,пермский край,2114,2050000.0,122,MT,Diesel,0,4.324894514767933
38,201723,48,M,311000.0,2023-06-01,самарская область,2113,3100000.0,107,MT,Petrol,4,9.967845659163988
39,198956,61,M,429000.0,2023-01-01,пермский край,kalina,2850000.0,142,AT,Diesel,2,6.643356643356643
40,199253,47,M,424000.0,2023-08-01,нижегородская область,2109,700000.0,122,MT,Petrol,5,1.650943396226415
41,199130,43,M,240000.0,2023-01-01,кировская область,2110,1550000.0,132,MT,Petrol,3,6.458333333333333
42,200823,48,M,240000.0,2022-08-01,чувашская республика,2115,800000.0,117,AT,Petrol,0,3.3333333333333335
43,197878,37,M,240000.0,2022-12-01,чувашская республика,2114,1000000.0,107,MT,Petrol,2,4.166666666666667
44,200635,52,M,336000.0,2021-10-01,чувашская республика,oka,2400000.0,87,MT,Diesel,2,7.142857142857143
45,201112,49,M,413000.0,2022-12-01,республика башкортостан,2107,2750000.0,112,AT,Diesel,0,6.658595641646489
46,199547,51,M,308000.0,2021-09-01,республика башкортостан,largus,1650000.0,87,MT,Petrol,1,5.357142857142857
47,201311,52,M,406000.0,2021-10-01,республика башкортостан,2114,2500000.0,107,AT,Diesel,0,6.157635467980295
48,199121,58,M,310000.0,2023-07-01,самарская область,riva,1950000.0,122,AT,Petrol,3,6.290322580645161
49,201294,52,M,366000.0,2023-08-01,республика мордовия,priora,1550000.0,147,AT,Petrol,2,4.2349726775956285
50,197938,58,M,406000.0,2023-07-01,самарская область,xray,2650000.0,112,MT,Diesel,3,6.527093596059113
51,201623,50,M,296000.0,2021-07-01,нижегородская область,granta,1750000.0,142,MT,Petrol,1,5.912162162162162
52,199643,58,M,304000.0,2023-01-01,республика башкортостан,xray,1950000.0,142,AT,Petrol,2,6.4144736842105265
53,199508,47,M,454000.0,2023-10-01,самарская область,riva,1850000.0,92,AT,Petrol,2,4.07488986784141
54,197929,59,M,496000.0,2022-08-01,самарская область,niva travel,1350000.0,112,AT,Petrol,0,2.721774193548387
55,198266,45,M,496000.0,2022-08-01,нижегородская область,2107,1950000.0,132,AT,Petrol,0,3.931451612903226
56,199262,59,M,288000.0,2022-09-01,республика татарстан,xray,1150000.0,102,AT,Petrol,2,3.9930555555555554
57,197473,54,M,310000.0,2021-11-01,республика башкортостан,2107,1300000.0,122,MT,Diesel,2,4.193548387096774
58,202063,54,M,458000.0,2022-06-01,саратовская область,oka,2550000.0,132,AT,Petrol,2,5.567685589519651
59,200843,59,M,418000.0,2022-07-01,ульяновская область,2110,2750000.0,137,AT,Diesel,1,6.578947368421052
60,201210,42,F,240000.0,2022-01-01,кировская область,21099,1250000.0,97,MT,Petrol,1,5.208333333333333
61,200302,56,M,478000.0,2023-07-01,республика марий эл,kalina,2500000.0,117,MT,Petrol,1,5.2301255230125525
62,198540,52,M,599000.0,2021-02-01,республика татарстан,2107,2400000.0,142,MT,Petrol,1,4.006677796327212
63,199596,56,M,435000.0,2023-06-01,саратовская область,niva travel,1100000.0,142,AT,Petrol,2,2.528735632183908
64,202020,55,M,402000.0,2021-10-01,саратовская область,2109,2500000.0,147,MT,Petrol,1,6.218905472636816
65,199786,51,M,276000.0,2022-08-01,самарская область,niva legend,1050000.0,87,MT,Petrol,3,3.8043478260869565
66,198522,58,M,263000.0,2022-01-01,нижегородская область,xray,2800000.0,122,MT,Petrol,4,10.64638783269962
67,200693,55,F,240000.0,2022-07-01,оренбургская область,largus,700000.0,142,MT,Petrol,4,2.9166666666666665
68,200371,40,M,245000.0,2023-05-01,самарская область,priora,1300000.0,87,MT,Petrol,2,5.3061224489795915
69,199796,38,F,243000.0,2022-07-01,республика марий эл,priora,1600000.0,97,MT,Petrol,0,6.584362139917696
70,201892,46,M,257000.0,2023-07-01,республика мордовия,oka,2950000.0,132,MT,Diesel,2,11.478599221789883
71,199255,54,M,432000.0,2021-06-01,оренбургская область,samara,2050000.0,107,MT,Petrol,0,4.74537037037037
72,202240,43,M,291000.0,2023-06-01,нижегородская область,oka,3100000.0,147,MT,Petrol,0,10.652920962199312
73,201588,48,F,240000.0,2023-04-01,республика татарстан,largus,2650000.0,92,MT,Petrol,1,11.041666666666666
74,201205,37,M,367000.0,2021-02-01,пермский край,largus,1300000.0,117,AT,Petrol,4,3.542234332425068
75,199081,56,M,507000.0,2021-08-01,нижегородская область,2115,2700000.0,122,MT,Petrol,0,5.325443786982248
76,198189,57,M,691000.0,2023-01-01,нижегородская область,kalina,2500000.0,142,MT,Petrol,3,3.61794500723589
77,198534,49,M,324000.0,2023-05-01,пермский край,oka,2650000.0,147,MT,Petrol,3,8.179012345679013
78,197812,49,M,240000.0,2021-10-01,саратовская область,largus,3000000.0,137,MT,Petrol,2,12.5
79,198205,47,M,294000.0,2021-08-01,нижегородская область,xray,2800000.0,107,AT,Petrol,2,9.523809523809524
80,199988,33,F,532000.0,2023-08-01,республика марий эл,2110,3150000.0,122,MT,Petrol,0,5.921052631578948
81,199987,53,M,457000.0,2021-01-01,удмуртская республика,2112,3100000.0,102,MT,Petrol,2,6.783369803063457
82,201754,54,M,353000.0,2023-10-01,республика татарстан,2113,1900000.0,102,MT,Petrol,0,5.38243626062323
83,200817,54,M,812000.0,2023-07-01,нижегородская область,2113,2350000.0,107,MT,Petrol,2,2.894088669950739
84,199291,39,M,314000.0,2023-10-01,республика татарстан,granta,1250000.0,122,MT,Diesel,2,3.9808917197452227
85,197927,52,M,240000.0,2021-02-01,удмуртская республика,samara,3050000.0,107,MT,Diesel,4,12.708333333333334
86,200097,45,M,313000.0,2023-12-01,нижегородская область,oka,2700000.0,132,AT,Petrol,0,8.626198083067093
87,201906,49,F,667000.0,2021-03-01,самарская область,niva legend,1500000.0,92,MT,Petrol,2,2.2488755622188905
89,200412,48,M,780000.0,2021-02-01,республика мордовия,niva travel,3200000.0,122,MT,Petrol,3,4.102564102564102
90,201847,44,M,520000.0,2022-03-01,самарская область,granta,1350000.0,97,AT,Diesel,3,2.5961538461538463
91,198445,56,F,1014000.0,2023-10-01,ульяновская область,2111,2950000.0,112,MT,Petrol,0,2.9092702169625246
92,201529,57,M,240000.0,2022-02-01,республика башкортостан,kalina,2650000.0,102,MT,Petrol,4,11.041666666666666
93,201574,55,M,923000.0,2023-12-01,удмуртская республика,niva legend,3050000.0,127,MT,Petrol,3,3.304442036836403
94,197663,59,M,309000.0,2021-02-01,пермский край,riva,1200000.0,142,AT,Petrol,1,3.883495145631068
95,199253,42,M,629000.0,2021-06-01,нижегородская область,samara,2550000.0,137,MT,Petrol,4,4.054054054054054
96,199204,56,M,292000.0,2023-08-01,республика башкортостан,niva travel,1600000.0,122,MT,Petrol,2,5.47945205479452
97,201436,50,F,259000.0,2022-07-01,пермский край,oka,2400000.0,102,MT,Petrol,1,9.266409266409266
