purchase_id,id,Age,Sex,Income,Purchase_Date,Region,Model,Price,Engine_Power,Transmission,Fuel_Type,Num_Additional_Options
1,199010,46,M,240000.0,2021-07-01,удмуртская республика,2113,900000.0,112,MT,Petrol,4
2,200176,56,M,575000.0,2023-03-01,самарская область,kalina,2750000.0,132,MT,Petrol,1
3,199908,31,M,287000.0,2021-01-01,республика татарстан,2112,1450000.0,142,MT,Petrol,4
4,199237,44,M,240000.0,2023-12-01,нижегородская область,2109,1400000.0,97,AT,Petrol,1
5,198720,57,M,262000.0,2022-01-01,республика башкортостан,largus,700000.0,142,MT,Petrol,1
6,201377,59,M,240000.0,2021-06-01,республика мордовия,xray,950000.0,102,MT,Petrol,2
7,201706,57,M,363000.0,2022-07-01,саратовская область,2110,2800000.0,102,AT,Petrol,3
8,201192,49,M,240000.0,2022-07-01,нижегородская область,kalina,800000.0,87,MT,Petrol,1
9,201522,39,M,415000.0,2022-08-01,оренбургская область,2110,1150000.0,102,MT,Petrol,2
10,198398,47,M,365000.0,2022-12-01,самарская область,riva,1150000.0,107,MT,Petrol,3
11,198416,44,M,423000.0,2023-02-01,самарская область,samara,3050000.0,112,AT,Petrol,0
12,199691,36,M,389000.0,2021-10-01,саратовская область,kalina,2800000.0,137,MT,Diesel,0
13,197843,47,M,437000.0,2021-01-01,кировская область,2113,1800000.0,117,AT,Petrol,1
14,200956,55,M,240000.0,2023-09-01,пермский край,priora,950000.0,142,AT,Diesel,0
15,201154,54,M,248000.0,2022-09-01,пензенская область,samara,1650000.0,147,MT,Petrol,1
16,198904,57,M,459000.0,2022-07-01,республика башкортостан,21099,750000.0,92,AT,Petrol,3
17,200838,53,F,341000.0,2022-11-01,республика башкортостан,riva,2700000.0,147,MT,Petrol,1
18,198399,60,M,461000.0,2023-05-01,самарская область,2114,2900000.0,122,MT,Petrol,1
19,197580,52,M,703000.0,2022-12-01,республика татарстан,largus,2500000.0,107,MT,Petrol,2
20,199479,44,M,1436000.0,2022-06-01,оренбургская область,priora,1650000.0,142,MT,Petrol,2
21,198945,52,M,240000.0,2023-12-01,ульяновская область,riva,1000000.0,122,AT,Petrol,1
22,197735,38,M,240000.0,2021-12-01,республика башкортостан,2109,2500000.0,147,MT,Petrol,0
23,198774,45,M,306000.0,2022-01-01,самарская область,2111,2450000.0,117,MT,Petrol,1
24,198493,53,M,373000.0,2022-11-01,ульяновская область,vesta,800000.0,97,MT,Diesel,3
25,199495,59,M,576000.0,2022-09-01,пензенская область,niva legend,1900000.0,117,MT,Petrol,1
26,197947,43,M,380000.0,2023-09-01,республика татарстан,largus,750000.0,92,MT,Petrol,1
27,198245,53,M,272000.0,2021-02-01,нижегородская область,2112,2000000.0,132,MT,Diesel,1
28,202331,46,M,398000.0,2021-05-01,республика башкортостан,2110,1550000.0,117,AT,Petrol,2
29,201209,56,M,402000.0,2022-01-01,оренбургская область,largus,1950000.0,122,AT,Petrol,2
30,201954,53,M,739000.0,2022-08-01,республика башкортостан,2113,2200000.0,97,AT,Petrol,1
31,201765,41,M,319000.0,2021-06-01,республика башкортостан,niva travel,1500000.0,97,MT,Petrol,1
32,202018,51,F,240000.0,2021-09-01,ульяновская область,priora,1700000.0,107,MT,Petrol,0
33,198020,53,M,305000.0,2022-09-01,саратовская область,2107,2200000.0,117,AT,Petrol,3
34,200904,47,M,400000.0,2021-07-01,чувашская республика,2112,2800000.0,137,AT,Petrol,0
35,197742,56,M,240000.0,2023-01-01,оренбургская область,2107,1950000.0,102,MT,Petrol,0
36,201816,50,M,495000.0,2022-03-01,республика марий эл,xray,2950000.0,102,MT,Petrol,1
37,198619,56,F,474000.0,2021-12-01,пермский край,2114,2050000.0,122,MT,Diesel,0
38,201723,48,M,311000.0,2023-06-01,самарская область,2113,3100000.0,107,MT,Petrol,4
